seconds_elapsed,latitude,longitude
2013.9642,33.439,70.6875
2014.9642,33.439,70.6874
2015.9642,33.439,70.6874
2016.9642,33.439,70.6874
2017.9642,33.439,70.6874
2018.9642,33.439,70.6874
2019.9642,33.439,70.6874
2020.9642,33.439,70.6874
2021.9642,33.439,70.6874
2022.9642,33.439,70.6874
2023.9642,33.439,70.6873
2024.9642,33.439,70.6873
2025.9642,33.439,70.6873
2026.9642,33.439,70.6873
2027.9642,33.439,70.6873
2028.9642,33.439,70.6873
2029.9642,33.439,70.6872
2030.9642,33.439,70.6872
2031.9642,33.439,70.6872
2032.9642,33.439,70.6872
2033.9642,33.439,70.6872
2034.9643,33.439,70.6872
2035.9643,33.439,70.6871
2036.9643,33.439,70.6871
2037.9643,33.439,70.6871
2038.9643,33.439,70.6871
2039.9643,33.439,70.6871
2040.9643,33.4391,70.687
2041.9643,33.4391,70.687
2042.9643,33.4391,70.687
2043.9643,33.4391,70.687
2044.9643,33.4391,70.687
2045.9643,33.4391,70.687
2046.9643,33.4391,70.687
2047.9643,33.4391,70.687
2048.9643,33.4391,70.687
2049.9643,33.4391,70.687
2050.9643,33.4391,70.687
2051.9643,33.4391,70.687
2052.9643,33.4391,70.687
2053.9643,33.4391,70.687
2054.9643,33.4391,70.687
2055.9643,33.4391,70.687
2056.9643,33.4391,70.687
2057.9643,33.4391,70.687
2058.9643,33.4391,70.6871
2059.9643,33.4391,70.6871
2060.9643,33.4391,70.6871
2061.9643,33.4391,70.6871
2062.9643,33.4391,70.6871
2063.9643,33.4391,70.6871
2064.9643,33.4391,70.687
2065.9843,33.4389,70.687
2078.939,33.4392,70.687
2079.8001,33.4392,70.687
2079.8161,33.4392,70.687
2084.8155,33.4392,70.687
2090.7929,33.4392,70.6869
2097.7777,33.4392,70.6869
2103.7835,33.4392,70.6869
2109.9338,33.4392,70.6869
2110.1764,33.4392,70.6869
2110.1775,33.4392,70.6869
2113.1509,33.4392,70.6869
2113.171,33.4392,70.6869
2115.8233,33.4393,70.687
2119.4304,33.4393,70.687
2119.4428,33.4393,70.687
2120.9645,33.4393,70.687
2121.863,33.4394,70.687
2121.9645,33.4394,70.687
2123.1192,33.4394,70.6869
2123.9645,33.4394,70.6869
2124.9645,33.4393,70.6869
2125.9645,33.4394,70.6869
2126.9645,33.4393,70.687
2127.9645,33.4393,70.687
2128.9645,33.4393,70.6871
2129.9645,33.4393,70.6874
2130.9644,33.4394,70.6872
2131.9644,33.4394,70.6872
2132.9644,33.4394,70.6872
2133.9644,33.4394,70.6872
2134.9644,33.4394,70.6872
2135.9644,33.4393,70.6872
2136.9644,33.4393,70.6872
2137.9644,33.4393,70.6872
2138.9644,33.4393,70.6872
2139.9643,33.4393,70.6872
2140.9643,33.4393,70.6872
2141.9643,33.4393,70.6872
2142.9643,33.4393,70.6872
2143.9643,33.4393,70.6872
2144.9643,33.4393,70.6873
2145.9643,33.4393,70.6873
2146.9642,33.4393,70.6873
2147.9642,33.4393,70.6873
2148.9642,33.4393,70.6872
2149.9642,33.4393,70.6872
2150.9642,33.4393,70.6872
2151.9642,33.4393,70.6872
2152.9642,33.4393,70.6872
2153.9642,33.4393,70.6872
2154.9642,33.4393,70.6872
2155.9642,33.4393,70.6872
2156.9642,33.4393,70.6872
2157.9642,33.4393,70.6871
2158.9642,33.4393,70.6872
2159.9642,33.4393,70.6872
2160.9642,33.4393,70.6872
2161.9642,33.4393,70.6872
2162.9642,33.4393,70.6872
2163.9641,33.4393,70.6872
2164.9641,33.4393,70.6872
2165.9641,33.4393,70.6872
2166.9641,33.4393,70.6872
2167.9641,33.4393,70.6872
2168.9641,33.4393,70.6872
2169.9641,33.4393,70.6872
2170.9641,33.4393,70.6872
2171.9641,33.4393,70.6872
2172.9641,33.4393,70.6872
2173.9641,33.4393,70.6872
2174.9641,33.4393,70.6872
2175.9641,33.4393,70.6872
2176.9641,33.4393,70.6872
2177.9641,33.4393,70.6872
2178.9641,33.4393,70.6872
2179.9641,33.4393,70.6872
2180.9641,33.4393,70.6872
2181.9641,33.4393,70.6872
2182.9641,33.4393,70.6872
2183.9641,33.4393,70.6872
2184.9641,33.4393,70.6872
2185.9641,33.4393,70.6872
2186.9641,33.4393,70.6872
2187.9641,33.4393,70.6872
2188.9641,33.4393,70.6872
2189.9641,33.4393,70.6871
2190.9641,33.4393,70.6871
2191.9641,33.4393,70.6871
2192.9641,33.4393,70.6871
2193.9641,33.4393,70.6871
2194.9641,33.4393,70.6871
2195.9641,33.4393,70.6871
2196.9641,33.4393,70.6871
2197.9641,33.4393,70.6872
2198.9641,33.4393,70.6872
2199.9641,33.4393,70.6872
2200.9641,33.4393,70.6872
2201.9641,33.4393,70.6872
2202.9641,33.4393,70.6872
2203.9641,33.4393,70.6872
2204.9642,33.4393,70.6872
2205.9642,33.4393,70.6872
2206.9642,33.4393,70.6872
2207.9642,33.4393,70.6872
2208.9642,33.4393,70.6872
2209.9642,33.4393,70.6872
2210.9642,33.4393,70.6872
